年月日,最高気温(℃),使用実績(万kW)
2014/4/3,15.6,3458
2014/4/4,22,3201
2014/4/5,14.9,2902
2014/4/6,13.4,2901
2014/4/7,16.5,3216
2014/4/8,22.3,3164
2014/4/9,20.4,3187
2014/4/10,22.9,3146
2014/4/11,18.7,3145
2014/4/12,20,2822
2014/4/13,18.7,2588
2014/4/14,17.6,3145
2014/4/15,20.6,3115
2014/4/16,23.3,3163
2014/4/17,21.8,3150
2014/4/18,18.2,3446
2014/4/19,17.9,2870
2014/4/20,14.1,2756
2014/4/21,17.5,3399
2014/4/22,20,3301
2014/4/23,21.3,3174
2014/4/24,21.7,3167
2014/4/25,22.5,3150
2014/4/26,23.9,2829
2014/4/27,22.7,2545
2014/4/28,23.2,2934
2014/4/29,20.6,2809
2014/4/30,18.5,3208
2014/5/1,24.5,3003
2014/5/2,25.6,3023
2014/5/3,25.6,2579
2014/5/4,23,2399
2014/5/5,20.7,2581
2014/5/6,18,2755
2014/5/7,21.5,3105
2014/5/8,21.5,3151
2014/5/9,26.8,3248
2014/5/10,24.9,2901
2014/5/11,25.3,2607
2014/5/12,23.3,3183
2014/5/13,22.7,3254
2014/5/14,27.2,3377
2014/5/15,21.9,3241
2014/5/16,25.7,3284
2014/5/17,26.2,2871
2014/5/18,25.2,2630
2014/5/19,25.7,3326
2014/5/20,25.6,3381
2014/5/21,19.5,3243
2014/5/22,22.8,3312
2014/5/23,21.7,3235
2014/5/24,25.4,2888
2014/5/25,27.3,2721
2014/5/26,24.6,3273
2014/5/27,26.5,3408
2014/5/28,27.7,3448
2014/5/29,27.5,3473
2014/5/30,29,3576
2014/5/31,31.6,3277
2014/6/1,33.1,3143
2014/6/2,31.4,3829
2014/6/3,28.9,3769
2014/6/4,29.4,3744
2014/6/5,23.3,3430
2014/6/6,20.9,3397
2014/6/7,19.2,3006
2014/6/8,22.4,2822
2014/6/9,25.6,3541
2014/6/10,27.8,3622
2014/6/11,24.4,3518
2014/6/12,23.7,3497
2014/6/13,30.3,3683
2014/6/14,29.4,3255
2014/6/15,29.6,2981
2014/6/16,29.8,3788
2014/6/17,27.8,3760
2014/6/18,25.1,3489
2014/6/19,28.5,3732
2014/6/20,27.9,3693
2014/6/21,27.7,3315
2014/6/22,23.6,2849
2014/6/23,27.8,3608
2014/6/24,26.6,3519
2014/6/25,26.2,3624
2014/6/26,28.2,3674
2014/6/27,26.2,3623
2014/6/28,24.8,3190
2014/6/29,28.9,3054
2014/6/30,27.3,3593
2014/7/1,29.6,3754
2014/7/2,30.3,3833
2014/7/3,27.5,3682
2014/7/4,23.4,3466
2014/7/5,24.3,3094
2014/7/6,28.5,2956
2014/7/7,24.9,3525
2014/7/8,31.5,3952
2014/7/9,25.7,3679
2014/7/10,29.7,3900
2014/7/11,34.2,4378
2014/7/12,32.8,3872
2014/7/13,28,3137
2014/7/14,32.9,4349
2014/7/15,32.5,4299
2014/7/16,32.3,4426
2014/7/17,31.8,4185
2014/7/18,27.5,3746
2014/7/19,26.4,3273
2014/7/20,29.9,3160
2014/7/21,28.8,3454
2014/7/22,31.2,4222
2014/7/23,33.1,4423
2014/7/24,34.6,4629
2014/7/25,35.6,4795
2014/7/26,34.6,4442
2014/7/27,34.5,3964
2014/7/28,30.7,4144
2014/7/29,31.8,4202
2014/7/30,31.8,4304
2014/7/31,33.9,4610
2014/8/1,33.5,4728
2014/8/2,35.3,4334
2014/8/3,35.5,4046
2014/8/4,34.7,4692
2014/8/5,36.1,4980
2014/8/6,35.7,4926
2014/8/7,34.2,4774
2014/8/8,31.7,4240
2014/8/9,27.8,3413
2014/8/10,29.4,3328
2014/8/11,32.9,4069
2014/8/12,29.6,3490
2014/8/13,31.5,3500
2014/8/14,30.1,3384
2014/8/15,33.6,3746
2014/8/16,31.2,3281
2014/8/17,30.8,3186
2014/8/18,33.6,4499
2014/8/19,34.7,4671
2014/8/20,34.5,4942
2014/8/21,34.1,4881
2014/8/22,34.6,4891
2014/8/23,30.3,3629
2014/8/24,32.1,3581
2014/8/25,29.3,3960
2014/8/26,26.9,3754
2014/8/27,23.4,3362
2014/8/28,23,3372
2014/8/29,26.2,3465
2014/8/30,26.1,2933
2014/8/31,25.7,2837
2014/9/1,23.8,3363
2014/9/2,29.8,3673
2014/9/3,27.3,3517
2014/9/4,27.7,3606
2014/9/5,31.6,4027
2014/9/6,31.1,3752
2014/9/7,24.4,2794
2014/9/8,24.4,3349
2014/9/9,28.1,3549
2014/9/10,26.9,3525
2014/9/11,23.2,3396
2014/9/12,27.5,3487
2014/9/13,27.3,3134
2014/9/14,28.7,2851
2014/9/15,26,3070
2014/9/16,29.5,3663
2014/9/17,26.1,3411
2014/9/18,25.9,3310
2014/9/19,25.6,3266
2014/9/20,22.3,2943
2014/9/21,26.7,2685
2014/9/22,27.2,3322
2014/9/23,26.4,3137
2014/9/24,25.9,3370
2014/9/25,28.5,3499
2014/9/26,28.1,3442
2014/9/27,23.5,2878
2014/9/28,27,2697
2014/9/29,28.3,3377
2014/9/30,29.1,3466
